
Chapter	Character	Word Count	Percentage
40: In for All	Navani Kholin	2813	0.62
41: The Most Dangerous	Venli	1693	0.37
Navani Kholin	1141	0.25
Kaladin	1028	0.23
42: Armor and Teeth	Navani Kholin	1287	0.28
Kaladin	1105	0.24
Navani Kholin	739	0.16
Venli	804	0.18
Navani Kholin	351	0.08
Venli	697	0.15
Navani Kholin	1644	0.36
43: Men and Monsters	Kaladin	4730	1.04
Interludes	9126	2
Interlude: Vyre	Moash	2171	0.48
Interlude: Lift	Lift	3811	0.84
Interlude: A Boon and a Curse	Taravangian	3144	0.69
Part 3: Songs of Home
44: Tinder Waiting for the Spark	Kaladin	2917	0.64
45: A Bold Heart, a Keen and Crafty Mind	Eshonai (flashback)	956	0.21
Venli (flashback)	1982	0.43
46: The Weight of the Tower	Navani Kholin	1764	0.39
Kaladin	1974	0.43
47: A Cage Forged of Spirits	Dalinar Kholin	2865	0.63
48: Scent of Death, Scent of Life	Eshonai (flashback)	2336	0.51
49: Soul of Discovery	Navani Kholin	2231	0.49
Kaladin	2785	0.61
Navani Kholin	938	0.21
50: Queen	Dalinar Kholin	6186	1.36
51: To Sing Hopeless Songs	Venli	1818	0.4
52: A Path Toward Saving	Venli (flashback)	2232	0.49
53: Compassion	Venli	2329	0.51
54: The Future Become Dust	Dalinar Kholin	1709	0.37
Renarin Kholin	1456	0.32
55: Kinship with the Open Sky	Kaladin	3406	0.75
56: Nodes	Venli	2704	0.59
57: Child of Odium	Eshonai (flashback)	1166	0.26
Venli (flashback)	1490	0.33
Eshonai (flashback)	783	0.17
58: Spanreeds	Kaladin	2601	0.57
59: The Lattice of a Growing Crystal	Kaladin	5397	1.18
60: Essai	Venli	3351	0.74
61: Oil and Water	Navani Kholin	3908	0.86
62: Keeper of Forms	Eshonai (flashback)	1817	0.4
63: Practice	Kaladin	3747	0.82
64: Personal Reminder	Jasnah Kholin	4506	0.99
65: Hypothesis	Navani Kholin	2228	0.49
66: Bearer of Agonies	Dalinar Kholin	3547	0.78
67: Song of Stones	Venli	2213	0.49
68: One Family	Eshonai (flashback)	3380	0.74
69: Pure Tones of Roshar	Navani Kholin	4010	0.88
70: Well	Kaladin	722	0.16
Navani Kholin	241	0.05
Kaladin	5216	1.14
71: Rider of Storms	Dalinar Kholin	3444	0.76
72: Outmatched	Navani Kholin	586	0.13
Interludes	4459	0.98
Interlude: Szeth	Szeth	1743	0.38
Interlude: Chiri-Chiri	Chiri-Chiri	1129	0.25
Interlude: The Sword	Taravangian	1587	0.35
Part 4: A Knowledge
73: Which Master to Follow	Venli (flashback)	2449	0.54
74: A Symbol	Venli	2338	0.51
75: The Middle Step	Adolin Kholin	1325	0.29
Shallan Davar	3266	0.72
76: Harmony	Navani Kholin	3687	0.81
77: The Proper Legality	Venli (flashback)	4196	0.92
78: The High Judge	Shallan Davar	1278	0.28
Adolin Kholin	2355	0.52
Shallan Davar	285	0.06
79: Open Wound	Rlain	2832	0.62
80: The Dog and the Dragon	Kaladin	5620	1.23
81: Trapped	Eshonai (flashback)	1430	0.31
Venli (flashback)	391	0.09
82: Knife	Shallan Davar	1903	0.42
Adolin Kholin	879	0.19
83: The Games of Men and Singers	Venli	3727	0.82
84: Scholar	Navani Kholin	2451	0.54
85: Dabbid	Dabbid	2258	0.5
86: The Song of Mornings	Venli (flashback)	2992	0.66
87: Trial by Witness	Adolin Kholin	4151	0.91
Shallan Davar	1203	0.26
88: Falling Star	Eshonai (flashback)	1302	0.29
89: Voice of Lights	Navani Kholin	2837	0.62
90: One Chance	Adolin Kholin	2402	0.53
Shallan Davar	989	0.22
91: Worth Saving	Teft	2667	0.59
92: A Gift	Venli	1453	0.32
93: Strong Enough	Shallan Davar	3627	0.8
94: Sacrifice	Adolin Kholin	3426	0.75
95: What She Truly Was	Venli (flashback)	1896	0.42
96: A Thousand Lies	Venli	1245	0.27
97: Freedom	Navani Kholin	4960	1.09
Interludes	4592	1.01
Interlude: Hesina	Hesina	1902	0.42
Interlude: Adin	Adin	1371	0.3
Interlude: Vulnerable	Taravangian	1319	0.29
Part 5: Knowing a Home of Songs, Called Our Burden
98: An Unwholesome Shade	Dalinar Kholin	1854	0.41
99: Not Bound	Jasnah Kholin	2374	0.52
100: Watchers at the Rim	Kaladin	1054	0.23
101: Undertext	Dalinar Kholin	3709	0.81
102: Highstorm Coming	Venli	1151	0.25
Navani Kholin	1589	0.35
Kaladin	867	0.19
103: The Legend You Live	Teft	1117	0.25
Kaladin	510	0.11
Teft	294	0.06
104: Full of Hope	Rlain	459	0.1
Kaladin	563	0.12
Venli	467	0.1
Teft	979	0.21
105: Children of Passions	Kaladin	598	0.13
Moash	639	0.14
Navani Kholin	700	0.15
106: A Hundred Discordant Rhythms	Kaladin	258	0.06
Navani Kholin	649	0.14
Venli	972	0.21
Kaladin	371	0.08
107: Uniting	Navani Kholin	386	0.08
Dalinar Kholin	126	0.03
Kaladin	110	0.02
Dalinar Kholin	169	0.04
Venli	378	0.08
Kaladin	274	0.06
Dalinar Kholin	214	0.05
108: Moments	Kaladin	1387	0.3
109: Emulsifier	Venli	351	0.08
Navani Kholin	293	0.06
Rlain	1438	0.32
110: Reborn	Kaladin	237	0.05
Navani Kholin	674	0.15
Lirin	467	0.1
111: Unchained	Dalinar Kholin	1359	0.3
Rlain	503	0.11
Dalinar Kholin	2051	0.45
Navani Kholin	523	0.11
Dalinar Kholin	820	0.18
Adin	899	0.2
Dalinar Kholin	800	0.18
Moash	490	0.11
112: Terms	Dalinar Kholin	3536	0.78
113: Emotion	Navani Kholin	879	0.19
Taravangian	1679	0.37
114: Broken Gods	Rlain	650	0.14
Taravangian	403	0.09
Kaladin	567	0.12
Taravangian	573	0.13
115: Testament	Shallan Davar	1442	0.32
Venli	1089	0.24
116: Mercy	Kaladin	969	0.21
Lezian	578	0.13
Kaladin	357	0.08
Dalinar Kholin	892	0.2
117: One Final Gift	Eshonai (flashback)	1732	0.38
Epilogue: Dirty Tricks	Wit	1972	0.43
