
Chapter	Character	Word Count	Percentage
38: The Silent Storm	Shallan Davar	5431	1.36
39: Heterochromatic	Shallan Davar (flashback)	3032	0.76
40: Palona	Shallan Davar	2141	0.54
41: Scars	Kaladin	5543	1.39
42: Mere Vapors	Shallan Davar	2455	0.62
43: The Ghostbloods	Shallan Davar	5401	1.36
44: One Form of Justice	Kaladin	5531	1.39
45: Middlefest	Shallan Davar (flashback)	6710	1.68
46: Patriots	Kaladin	6669	1.67
47: Feminine Wiles	Shallan Davar	3612	0.91
48: No More Weakness	Shallan Davar (flashback)	3356	0.84
49: Watching the World Transform	Shallan Davar	6311	1.58
50: Uncut Gems	Adolin Kholin	2800	0.70
51: Heirs	Adolin Kholin	2752	0.69
52: Into the Sky	Kaladin	252	0.06
Shallan Davar	1124	0.28
Kaladin	493	0.12
Shallan Davar	1077	0.27
Kaladin	300	0.08
Shallan Davar	771	0.19
Kaladin	341	0.09
Shallan Davar	694	0.17
Kaladin	891	0.22
Shallan Davar	386	0.10
Kaladin	1585	0.40
53: Perfection	Adolin Kholin	2255	0.57
54: Veil's Lesson	Shallan Davar	4412	1.11
55: The Rules of the Game	Kaladin	6165	1.55
56: Whitespine Uncaged	Kaladin	891	0.22
Adolin Kholin	1074	0.27
Kaladin	429	0.11
Adolin Kholin	1244	0.31
Dalinar Kholin	430	0.11
Adolin Kholin	431	0.11
Dalinar Kholin	444	0.11
57: To Kill the Wind	Shallan Davar	306	0.08
Kaladin	3495	0.88
58: Never Again	Kaladin	1038	0.26
Torol Sadeas	405	0.10
Kaladin	187	0.05
Interludes
Interlude: Lift	Lift	10664	2.68
Interlude: Szeth	Szeth-son-son-Vallano	773	0.19
Interlude: New Rhythms	Eshonai	4799	1.21
Part Four: The Approach
59: Fleet	Kaladin	2804	0.70
60: Veil Walks	Shallan Davar	3143	0.79
61: Obedience	Shallan Davar (flashback)	1861	0.47
62: The One Who Killed Promises	Kaladin	2153	0.54
63: A Burning World	Shallan Davar	5523	1.39
64: Treasures	Kaladin	557	0.14
Shallan Davar	1120	0.28
65: The One Who Deserves It	Shallan Davar (flashback)	1821	0.46
66: Stormblessings	Kaladin	3055	0.77
67: Spit and Bile	Dalinar Kholin	5944	1.49
68: Bridges	Kaladin	7178	1.80
69: Nothing	Kaladin	2034	0.51
Shallan Davar	1946	0.49
70: From a Nightmare	Kaladin	1099	0.28
Shallan Davar	3661	0.92
71: Vigil	Teft	1333	0.33
Kaladin	4629	1.16
72: Selfish Reasons	Kaladin	2009	0.50
Shallan Davar	2070	0.52
73: A Thousand Scurrying Creatures	Shallan Davar (flashback)	2860	0.72
74: Striding the Storm	Kaladin	2699	0.68
75: True Glory	Dalinar Kholin	1860	0.47
Shallan Davar	1981	0.50
Interludes
Interlude: Lhan	Lhan	2549	0.64
Interlude: A Part to Play	Eshonai	517	0.13
Interlude: Taravangian	Taravangian	7122	1.79
Part Five: Winds Alight
76: The Hidden Blade	Kaladin	1144	0.29
Dalinar Kholin	650	0.16
Torol Sadeas	280	0.07
Dalinar Kholin	986	0.25
Kaladin	1697	0.43
Torol Sadeas	193	0.05
77: Trust	Shallan Davar	3095	0.78
Kaladin	835	0.21
78: Contradictions	Shallan Davar	3325	0.83
79: Toward the Center	Dalinar Kholin	1470	0.37
80: To Fight the Rain	Shallan Davar	1866	0.47
Kaladin	1708	0.43
81: The Last Day	Dalinar Kholin	2239	0.56
Kaladin	1717	0.43
Adolin Kholin	1142	0.29
Shallan Davar	1339	0.34
Dalinar Kholin	817	0.21
82: For Glory Lit	Kaladin	777	0.20
Adolin Kholin	857	0.22
Dalinar Kholin	1455	0.37
Kaladin	963	0.24
83: Time's Illusion	Shallan Davar	986	0.25
Adolin Kholin	999	0.25
Dalinar Kholin	1098	0.28
Kaladin	718	0.18
84: The One Who Saves	Shallan Davar	983	0.25
Adolin Kholin	1009	0.25
Kaladin	1120	0.28
85: Swallowed by the Sky	Dalinar Kholin	700	0.18
Shallan Davar	236	0.06
Dalinar Kholin	597	0.15
Adolin Kholin	236	0.06
Dalinar Kholin	403	0.10
Adolin Kholin	1204	0.30
86: Patterns of Light	Kaladin	313	0.08
Shallan Davar	122	0.03
Dalinar Kholin	1037	0.26
Kaladin	682	0.17
Shallan Davar	449	0.11
Kaladin	1138	0.29
Shallan Davar	392	0.10
Kaladin	351	0.09
Shallan Davar	255	0.06
Kaladin	1163	0.29
87: The Riddens	Kaladin	1891	0.47
Shallan Davar	1221	0.31
Lopen	615	0.15
Moash	625	0.16
88: The Man Who Owned the Winds	Shallan Davar	2128	0.53
Meridas Amaram	1141	0.29
Szeth-son-son-Vallano	894	0.22
89: The Four	Dalinar Kholin	360	0.09
Adolin Kholin	1184	0.30
Dalinar Kholin	2511	0.63
Epilogue: Art and Expectation	Wit	1821	0.46
