
Chapter	Character	Word Count	Percentage
63: Within the Mirror	Shallan Davar	3241	0.71
64: Binder of Gods	Dalinar Kholin	2835	0.62
65: Verdict	Dalinar Kholin	4881	1.07
66: Strategist	Dalinar Kholin (flashback)	2567	0.56
67: Mishim	Shallan Davar	4458	0.98
68: Aim for the Sun	Shallan Davar	3225	0.71
69: Free Meal, No Strings	Kaladin	2787	0.61
70: Highmarshal Azure	Kaladin	2580	0.57
71: A Sign of Humanity	Dalinar Kholin (flashback)	3195	0.7
72: Rockfall	Shallan Davar	4111	0.9
73: Telling Which Stories	Kaladin	3899	0.86
74: Swiftspren	Shallan Davar	2520	0.55
75: Only Red	Dalinar Kholin (flashback)	2622	0.58
76: An Animal	Dalinar Kholin (flashback)	3364	0.74
77: Stormshelter	Kaladin	2044	0.45
Shallan Davar	2468	0.54
78: The Revel	Shallan Davar	537	0.12
Kaladin	595	0.13
Shallan Davar	1317	0.29
Kaladin	612	0.13
Shallan Davar	622	0.14
79: Echoes of Thunder	Kaladin	2061	0.45
80: Oblivious	Shallan Davar	1372	0.3
81: Ithi and Her Sister	Kaladin	975	0.21
82: The Girl Who Stood Up	Shallan Davar	3359	0.74
83: Crimson to Break	Adolin Kholin	5326	1.17
84: The One You Can Save	Kaladin	840	0.18
Shallan Davar	218	0.05
Kaladin	1148	0.25
Shallan Davar	601	0.13
Kaladin	411	0.09
Shallan Davar	554	0.12
Kaladin	960	0.21
85: Grieve Later	Adolin Kholin	601	0.13
Shallan Davar	192	0.04
86: That Others May Stand	Dalinar Kholin	1384	0.3
87: This Place	Adolin Kholin	509	0.11
Interludes
Interlude: Envoy	Venli	2058	0.45
Interlude: Mem	Mem	1185	0.26
Interlude: True Labor Begins	Venli	314	0.07
Interlude: Sheler	Sheler	878	0.19
Interlude: Her Reward	Venli	1171	0.26
Part 4: Defy! Sing Beginnings!
88: Voices	Dalinar Kholin (flashback)	2008	0.44
89: Damnation	Adolin Kholin	1164	0.26
Shallan Davar	1503	0.33
Adolin Kholin	864	0.19
90: Reborn	Szeth	1643	0.36
91: Why He Froze	Kaladin	1798	0.4
92: Water Warm as Blood	Szeth	3318	0.73
93: Kata	Adolin Kholin	1923	0.42
94: A Small Bottle	Dalinar Kholin (flashback)	678	0.15
95: Inescapable Void	Kaladin	1500	0.33
96: Pieces of a Fabrial	Navani Kholin	4407	0.97
97: Riino	Kaladin	1038	0.23
Shallan Davar	674	0.15
Kaladin	700	0.15
Shallan Davar	183	0.04
Kaladin	1427	0.31
98: Loopholes	Szeth	2593	0.57
99: Reachers	Kaladin	3567	0.78
100: An Old Friend	Dalinar Kholin	3628	0.8
101: Deadeye	Adolin Kholin	2515	0.55
102: Celebrant	Kaladin	1341	0.3
Shallan Davar	881	0.19
Kaladin	347	0.08
Shallan Davar	225	0.05
Kaladin	404	0.09
Shallan Davar	433	0.1
Kaladin	728	0.16
103: Hypocrite	Dalinar Kholin	2624	0.58
104: Strength	Navani Kholin	2783	0.61
105: Spirit, Mind, and Body	Dalinar Kholin (flashback)	2845	0.63
106: Law Is Light	Szeth	1779	0.39
107: The First Step	Dalinar Kholin	4829	1.06
Taravangian	1295	0.28
108: Honor's Path	Shallan Davar	3622	0.8
Kaladin	1611	0.35
Adolin Kholin	463	0.1
109: Neshua Kadal	Dalinar Kholin	1142	0.25
Venli	2445	0.54
Dalinar Kholin	394	0.09
110: A Million Stars	Shallan Davar	1753	0.39
111: Eila Stele	Dalinar Kholin	4197	0.92
112: For the Living	Kaladin	1285	0.28
113: The Thing Men Do Best	Dalinar Kholin	1524	0.34
Interludes
Interlude: Rhythm of Withdrawal	Venli	767	0.17
Interlude: Rysn	Rysn	4141	0.91
Interlude: Teft	Teft	638	0.14
Part 5: New Unity
114: The Cost	Dalinar Kholin (flashback)	3476	0.76
115: The Wrong Passion	Dalinar Kholin	510	0.11
Shallan Davar	490	0.11
Jasnah Kholin	352	0.08
Venli	1129	0.25
Teft	342	0.08
Navani Kholin	334	0.07
Venli	486	0.11
Kaladin	171	0.04
Venli	220	0.05
116: Alone	Kaladin	335	0.07
Dalinar Kholin	1067	0.23
Jasnah Kholin	104	0.02
Shallan Davar	337	0.07
Venli	259	0.06
Kaladin	602	0.13
Yanagawn	882	0.19
Shallan Davar	325	0.07
Szeth	372	0.08
Kaladin	556	0.12
Navani Kholin	507	0.11
117: Champion with Nine Shadows	Dalinar Kholin	728	0.16
Adolin Kholin	713	0.16
Shallan Davar	591	0.13
Lift	584	0.13
Szeth	287	0.06
Kaladin	453	0.1
Dalinar Kholin	271	0.06
Lift	831	0.18
Navani Kholin	192	0.04
Shalash	344	0.08
Renarin Kholin	307	0.07
Dalinar Kholin	234	0.05
118: The Weight of It All	Dalinar Kholin	366	0.08
Szeth	516	0.11
Jasnah Kholin	50	0.01
Shalash	83	0.02
Kaladin	118	0.03
Lift	267	0.06
Navani Kholin	469	0.1
Dalinar Kholin	258	0.06
Teft	23	0.01
Kaladin	39	0.01
Dalinar Kholin	318	0.07
Szeth	139	0.03
Renarin Kholin	80	0.02
Venli	349	0.08
Kaladin	113	0.02
Jasnah Kholin	370	0.08
Dalinar Kholin	93	0.02
119: Unity	Dalinar Kholin	254	0.06
Renarin Kholin	210	0.05
Dalinar Kholin	44	0.01
Kaladin	59	0.01
Dalinar Kholin	192	0.04
Kaladin	103	0.02
Shalash	287	0.06
Teft	105	0.02
Renarin Kholin	326	0.07
Navani Kholin	102	0.02
Dalinar Kholin	253	0.06
Lift	240	0.05
Dalinar Kholin	883	0.19
120: The Spear That Would Not Break	Kaladin	221	0.05
Adolin Kholin	509	0.11
Szeth	265	0.06
Kaladin	317	0.07
Dalinar Kholin	96	0.02
Shallan Davar	342	0.08
Adolin Kholin	482	0.11
Jasnah Kholin	293	0.06
Szeth	696	0.15
Adolin Kholin	825	0.18
Kaladin	659	0.15
Dalinar Kholin	140	0.03
Jasnah Kholin	599	0.13
Szeth	491	0.11
Shallan Davar	278	0.06
Kaladin	855	0.19
Adolin Kholin	1099	0.24
Dalinar Kholin	183	0.04
Venli	624	0.14
Adolin Kholin	1709	0.38
Szeth	711	0.16
Kaladin	1629	0.36
Renarin Kholin	325	0.07
Shallan Davar	816	0.18
Renarin Kholin	1122	0.25
Shallan Davar	278	0.06
Renarin Kholin	528	0.12
Dalinar Kholin	353	0.08
Kaladin	948	0.21
Shallan Davar	294	0.06
Kaladin	152	0.03
121: Ideals	Moash	805	0.18
Navani Kholin	441	0.1
Shallan Davar	1057	0.23
Venli	490	0.11
Szeth	468	0.1
Shallan Davar	1275	0.28
Kaladin	1158	0.25
Dalinar Kholin	460	0.1
Moash	339	0.07
Lopen	1598	0.35
Shalash	479	0.11
122: A Debt Repaid	Kaladin	431	0.09
Taravangian	2083	0.46
Shallan Davar	1705	0.38
Palona	398	0.09
Moash	481	0.11
Shallan Davar	1106	0.24
Dalinar Kholin	1046	0.23
Epilogue: Great Art	Wit	1975	0.43
